Time (s),Channel 1 (V),Channel 2 (V)
-5.1199513888888886,-0.063447680455386748,-0.0071830878412843064
-5.1187013888888888,0.029241612275772905,-0.0071830878412843064
-5.1174513888888882,0.092149868714320252,-0.0075179397343330956
-5.1162013888888884,0.1302963646397968,-0.0058436802690891507
-5.1149513888888887,0.17145442603307415,-0.0038345689107964157
-5.113701388888888,0.21294710581166543,-0.002495161338600194
-5.1124513888888883,0.21897023674726424,-0.00015119808725973661
-5.1112013888888885,0.1624197296296718,0.00051850569883784149
-5.1099513888888888,0.056680319871381363,0.001188209484935115
-5.1087013888888881,-0.061439970143559577,0.00051850569883708016
-5.1074513888888884,-0.14944460548036459,-0.0011557537664061038
-5.1062013888888886,-0.17989487854368361,-0.0028300132316500491
-5.1049513888888889,-0.14944460548037844,-0.0045042726968932325
-5.1037013888888882,-0.072816995244100291,-0.0068482359482355173
-5.1024513888888885,0.021880007798968704,-0.0071830878412843064
-5.1012013888888887,0.095496052567432224,-0.0075179397343330956
-5.0999513888888881,0.13698873234603767,-0.0065133840551858157
-5.0987013888888884,0.17413137311556373,-0.004504272696893994
-5.0974513888888886,0.21629328966477465,-0.0031648651246988383
-5.0962013888888889,0.23770886632468158,-0.00082090187335838059
-5.0949513888888882,0.20123546232577075,0.00051850569883784149
-5.0937013888888885,0.10653845928270175,0.00085335759188663054
-5.0924513888888887,-0.013924159429329465,0.00085335759188663054
-5.0912013888888881,-0.11832509564644768,-0.00048604998030943932
-5.0899513888888883,-0.17219865568152604,-0.00249516133860126
-5.0887013888888886,-0.16316395927812369,-0.0038345689107964157
-5.0874513888888888,-0.10226341315151338,-0.0065133840551855112
-5.0862013888888882,-0.011581830732151081,-0.0071830878412843064
-5.0849513888888884,0.069061200127847597,-0.0075179397343330956
-5.0837013888888887,0.1155731556861041,-0.0071830878412843064
-5.082451388888888,0.14736190229068585,-0.0051739764829908108
-5.0812013888888883,0.18684687175738923,-0.003499717017747627
-5.0799513888888885,0.21796638159133064,-0.0018254575525036816
-5.0787013888888888,0.20190469909640044,0.00051850569883677561
-5.0774513888888881,0.12193090500696223,0.00051850569883814604
-5.0762013888888884,0.0018029046802968329,0.0011882094849354195
-5.0749513888888886,-0.1176558588758008,0.00018365380578905244
-5.0737013888888889,-0.19729503457982966,-0.0021603094455514048
-5.0724513888888882,-0.21636828254260415,-0.003499717017747627
-5.0712013888888885,-0.17654869469057161,-0.0055088283760403615
-5.0699513888888887,-0.097578755757128918,-0.0068482359482355173
-5.0687013888888881,-0.015597251355862173,-0.0075179397343330956
-5.0674513888888884,0.035599361596727816,-0.0075179397343330956
-5.0662013888888886,0.06370730596286843,-0.0058436802690891507
-5.0649513888888889,0.097169144493972986,-0.0038345689107973295
-5.0637013888888882,0.13464640364884237,-0.00249516133860126
-5.0624513888888885,0.13966567942851035,-0.00015119808725973661
-5.0612013888888887,0.081107461999050723,0.00051850569883784149
-5.0599513888888881,-0.029651223539012977,0.001188209484935115
-5.0587013888888883,-0.15546773641596615,0.00051850569883784149
-5.0574513888888886,-0.25518401523870315,-0.0011557537664061038
-5.0562013888888888,-0.3000228788703832,-0.0031648651246979245
-5.0549513888888882,-0.28362657799015489,-0.0048391245899427832
-5.0537013888888884,-0.22038370316633854,-0.0068482359482355173
-5.0524513888888887,-0.14208300100351823,-0.0071830878412843064
-5.051201388888888,-0.086870967427158732,-0.0075179397343326385
-5.0499513888888883,-0.060770733372897165,-0.006513384055186729
-5.0487013888888885,-0.034001262548001336,-0.004504272696893994
-5.0474513888888888,0.005149088533391008,-0.0031648651246994472
-5.0462013888888881,0.029576230661112101,-0.00082090187335655328
-5.0449513888888884,-0.0015432791728151453,0.00085335759188663054
-5.0437013888888886,-0.092224861592149765,0.00085335759188663054
-5.0424513888888889,-0.21168362514819308,0.00085335759188663054
-5.0412013888888882,-0.31809227167720833,-0.00048604998030852566
-5.0399513888888885,-0.37731972587729035,-0.00249516133860126
-5.0387013888888887,-0.37564663395073428,-0.0038345689107964157
-5.0374513888888881,-0.3211038371449712,-0.0061785321621383969
-5.0362013888888884,-0.23778385920252082,-0.0071830878412843064
-5.0349513888888886,-0.1648370512046797,-0.0075179397343330956
-5.0337013888888889,-0.12401360819673213,-0.0071830878412844591
-5.0324513888888882,-0.092559479977460959,-0.0051739764829915724
-5.0312013888888885,-0.048389853116382844,-0.003499717017747627
-5.0299513888888887,-0.0065625549524831132,-0.0018254575525036816
-5.0287013888888881,-0.0082356468790689263,0.00051850569883799371
-5.0274513888888883,-0.073820850400033874,0.00085335759188663054
-5.0262013888888886,-0.17922564177306119,0.0011882094849354195
-5.0249513888888888,-0.28563428830197368,0.00018365380578950932
-5.0237013888888882,-0.35423105729081772,-0.0018254575525036816
-5.0224513888888884,-0.36326575369421998,-0.0031648651246988383
-5.0212013888888887,-0.3157499429800299,-0.0055088283760403615
-5.019951388888888,-0.2297530179550116,-0.0068482359482356699
-5.0187013888888883,-0.14074452746227345,-0.0071830878412843064
-5.0174513888888885,-0.081851691647502625,-0.0071830878412843064
-5.0162013888888888,-0.044374432492665511,-0.0058436802690897596
-5.0149513888888881,-0.00020480563154798539,-0.0038345689107958068
-5.0137013888888884,0.048984097009175727,-0.00249516133860126
-5.0124513888888886,0.067053489815980416,-0.00015119808725973661
-5.0112013888888889,0.021880007798989243,0.00051850569883753693
-5.0099513888888882,-0.075493942326589861,0.0011882094849354195
-5.0087013888888885,-0.18826033817646354,0.00051850569883784149
-5.0074513888888887,-0.27459188158675263,-0.0011557537664061038
-5.0062013888888881,-0.30638062819130329,-0.0028300132316508107
-5.0049513888888884,-0.27760344705455331,-0.004504272696893994
-5.0037013888888886,-0.20298354713015623,-0.0068482359482355173
-5.0024513888888889,-0.11129810955492972,-0.0068482359482355173
-5.0012013888888882,-0.042032103795470087,-0.0075179397343330956
-4.9999513888888885,-0.0032163710993711346,-0.006513384055186729
-4.9987013888888887,0.034260888055483024,-0.004504272696893994
-4.9974513888888881,0.081776698769687114,-0.0031648651246977723
-4.9962013888888883,0.11256159021830332,-0.0008209018733573146
-4.9949513888888886,0.086795974549341084,0.00051850569883784149
-4.9937013888888888,0.0011336679097133928,0.00085335759188647831
-4.9924513888888882,-0.11364043825206642,0.00085335759188663054
-4.9912013888888884,-0.21603366415729297,-0.00048604998030852566
-4.9899513888888887,-0.27057646096301824,-0.00249516133860126
-4.988701388888888,-0.26354947487145597,-0.0038345689107974817
-4.9874513888888883,-0.20398740228608983,-0.0061785321621379398
-4.9862013888888885,-0.11531353017862241,-0.0068482359482355173
-4.9849513888888888,-0.036343591245215634,-0.0075179397343327911
-4.9837013888888881,0.0088298907718472042,-0.0068482359482347557
-4.9824513888888884,0.042291729302951775,-0.0051739764829915724
-4.9812013888888886,0.08646135616402989,-0.003499717017747627
-4.9799513888888889,0.12695018078666642,-0.001825457552504443
-4.9787013888888882,0.12226552339232806,0.00051850569883784149
-4.9774513888888885,0.053334136018221304,0.00085335759188663054
-4.9762013888888887,-0.057089931134473984,0.0011882094849354195
-4.9749513888888881,-0.16885247182844754,0.00018365380578813881
-4.9737013888888884,-0.2424685165968776,-0.0018254575525036816
-4.9724513888888886,-0.25652248877994788,-0.0031648651246988383
-4.9712013888888889,-0.21302209868951197,-0.0055088283760392955
-4.9699513888888882,-0.1307059759029375,-0.0068482359482355173
-4.9687013888888885,-0.044374432492648469,-0.0071830878412843064
-4.9674513888888887,0.011506837854321571,-0.0075179397343330956
-4.9662013888888881,0.044968676385459309,-0.0058436802690882373
-4.9649513888888883,0.084453645852162695,-0.0038345689107964157
-4.9637013888888886,0.12895789109855202,-0.00249516133860126
-4.9624513888888888,0.14301186328161594,-0.00015119808726080271
-4.9612013888888882,0.094826815796809835,0.00051850569883784149
-4.9599513888888884,-0.0045548446406159255,0.0011882094849354195
-4.9587013888888887,-0.11799047726111199,0.00051850569883784149
-4.957451388888888,-0.20365278390079158,-0.0011557537664068651
-4.9562013888888883,-0.23209534665223044,-0.0028300132316500491
-4.9549513888888885,-0.19997198166235547,-0.004504272696893994
-4.9537013888888888,-0.12167127949957078,-0.0068482359482344513
-4.9524513888888881,-0.022958855832695742,-0.0071830878412844591
-4.9512013888888884,0.056345701486022082,-0.0075179397343330956
-4.9499513888888886,0.10486536735614577,-0.006513384055186729
-4.9487013888888889,0.1483657574465817,-0.0045042726968949082
-4.9474513888888882,0.19855851524328116,-0.0031648651246988383
-4.9462013888888885,0.22867416992128897,-0.0008209018733573146
-4.9449513888888887,0.19989698878452594,0.00051850569883784149
-4.9437013888888881,0.10653845928264377,0.00085335759188663054
-4.9424513888888884,-0.02095114552086462,0.00085335759188663054
-4.9412013888888886,-0.14208300100351823,-0.00048604998030852566
-4.9399513888888889,-0.22239141347816918,-0.0024951613386003458
-4.9387013888888882,-0.24849164753247915,-0.0038345689107964157
-4.9374513888888885,-0.22741068925787369,-0.0061785321621379398
-4.9362013888888887,-0.18491415432335156,-0.0071830878412843064
-4.9349513888888881,-0.15847930188376952,-0.0075179397343329429
-4.9337013888888883,-0.16416781443405729,-0.0071830878412843064
-4.9324513888888886,-0.17286789245214843,-0.0051739764829915724
-4.9312013888888888,-0.15847930188377349,-0.0034997170177483881
-4.9299513888888882,-0.13572525168260549,-0.0018254575525036816
-4.9287013888888884,-0.14944460548036459,0.00051850569883784149
-4.9274513888888887,-0.23042225472567446,0.00051850569883784149
-4.926201388888888,-0.35925033307054999,0.0011882094849349626
-4.9249513888888883,-0.50079391005712226,0.00018365380578905244
-4.9237013888888885,-0.6172411081454191,-0.0021603094455524708
-4.9224513888888888,-0.68316093005169509,-0.0034997170177470177
-4.9212013888888881,-0.69319948161104616,-0.0055088283760411231
-4.9199513888888884,-0.66040687985056368,-0.0071830878412843064
-4.9187013888888886,-0.61389492429230719,-0.0075179397343330956
-4.9174513888888889,-0.5831100328436909,-0.0075179397343330956
-4.9162013888888882,-0.55734441717471472,-0.0061785321621379398
-4.9149513888888885,-0.5084901329192798,-0.0041694208038452049
-4.9137013888888887,-0.44056260070110675,-0.00249516133860126
-4.9124513888888881,-0.39204293483098657,-0.00015119808725943206
-4.9112013888888884,-0.39973915769314061,0.00051850569883784149
-4.9099513888888886,-0.45896661189322263,0.0011882094849354195
-4.9087013888888889,-0.5362634589000741,0.00051850569883814604
-4.9074513888888882,-0.59147549247645692,-0.0011557537664061038
-4.9062013888888885,-0.59649476825612491,-0.0031648651246988383
