Time (s),Channel 1 (V),Channel 2 (V)
-5.1200000000000001,-1.093737688828565,-0.0041694208038452049
-5.1187500000000004,-1.0984223462229195,-0.0041694208038452049
-5.1174999999999997,-1.1014339116907226,-0.0041694208038452049
-5.11625,-1.1097993713235024,-0.0041694208038452049
-5.1150000000000002,-1.1198379228828383,-0.0041694208038452049
-5.1137499999999996,-1.1325534215246695,-0.0041694208038452049
-5.1124999999999998,-1.1445996833958672,-0.0041694208038452049
-5.1112500000000001,-1.1539689981845807,-0.0041694208038452049
-5.1100000000000003,-1.1673537335970225,-0.0041694208038452049
-5.1087499999999997,-1.1804038506241663,-0.0041694208038452049
-5.1074999999999999,-1.1827461793213436,-0.0041694208038452049
-5.1062500000000002,-1.1777269035416755,-0.0041694208038452049
-5.1050000000000004,-1.1720383909913878,-0.0041694208038452049
-5.1037499999999998,-1.1643421681292276,-0.0041694208038452049
-5.1025,-1.1563113268817589,-0.0041694208038452049
-5.1012500000000003,-1.1506228143314685,-0.0041694208038452049
-5.0999999999999996,-1.1462727753224213,-0.0041694208038452049
-5.0987499999999999,-1.142591973084,-0.0041694208038452049
-5.0975000000000001,-1.1375726973043319,-0.0041694208038452049
-5.0962500000000004,-1.1298764744421779,-0.0041694208038452049
-5.0949999999999998,-1.1208417780387721,-0.0041694208038452049
-5.09375,-1.1077916610116352,-0.0041694208038452049
-5.0925000000000002,-1.0907261233607641,-0.0041694208038452049
-5.0912499999999996,-1.0853722291957904,-0.0041694208038452049
-5.0899999999999999,-1.097083872681677,-0.0041694208038452049
-5.0887500000000001,-1.1114724632500586,-0.0041694208038452049
-5.0875000000000004,-1.1201725412681456,-0.0041694208038452049
-5.0862499999999997,-1.1221802515800168,-0.0041694208038452049
-5.085,-1.1221802515800168,-0.0041694208038452049
-5.0837500000000002,-1.1174955941856599,-0.0041694208038452049
-5.0824999999999996,-1.1101339897088125,-0.0041694208038452049
-5.0812499999999998,-1.1074570426263242,-0.0041694208038452049
-5.0800000000000001,-1.1108032264794361,-0.0041694208038452049
-5.0787500000000003,-1.1205071596534564,-0.0041694208038452049
-5.0774999999999997,-1.1369034605337165,-0.0041694208038452049
-5.0762499999999999,-1.1526305246433357,-0.0041694208038452049
-5.0750000000000002,-1.1623344578173604,-0.0041694208038452049
-5.0737500000000004,-1.1619998394320497,-0.0041694208038452049
-5.0724999999999998,-1.1549728533405141,-0.0041694208038452049
-5.07125,-1.1489497224049126,-0.0041694208038452049
-5.0700000000000003,-1.1445996833958672,-0.0041694208038452049
-5.0687499999999996,-1.1372380789190175,-0.0041694208038452049
-5.0674999999999999,-1.1305457112127968,-0.0041694208038452049
-5.0662500000000001,-1.1205071596534608,-0.0041694208038452049
-5.0650000000000004,-1.1087955161675742,-0.0041694208038452049
-5.0637499999999998,-1.097083872681677,-0.0041694208038452049
-5.0625,-1.0920645969020091,-0.0041694208038452049
-5.0612500000000002,-1.1024377668466561,-0.0041694208038452049
-5.0599999999999996,-1.1235187251212739,-0.0041694208038452049
-5.0587499999999999,-1.1509574327167797,-0.0041694208038452049
-5.0575000000000001,-1.1760538116151196,-0.0041694208038452049
-5.0562500000000004,-1.1951270595778491,-0.0041694208038452049
-5.0549999999999997,-1.2081771766049947,-0.0041694208038452049
-5.05375,-1.2225657671733761,-0.0041694208038452049
-5.0525000000000002,-1.2406351599801808,-0.0041694208038452049
-5.0512499999999996,-1.2617161182547965,-0.0041694208038452049
-5.0499999999999998,-1.2841355500706366,-0.0041694208038452049
-5.0487500000000001,-1.3045472715746196,-0.0041694208038452049
-5.0475000000000003,-1.3222820459961051,-0.0041694208038452049
-5.0462499999999997,-1.3360013997938782,-0.0041694208038452049
-5.0449999999999999,-1.3493861352063201,-0.0041694208038452049
-5.0437500000000002,-1.3600939235362786,-0.0041694208038452049
-5.0425000000000004,-1.3701324750956096,-0.0041694208038452049
-5.0412499999999998,-1.379836408269639,-0.0041694208038452049
-5.04,-1.3888711046730415,-0.0041694208038452049
-5.0387500000000003,-1.4012519849295557,-0.0041694208038452049
-5.0374999999999996,-1.4116251548742063,-0.0041694208038452049
-5.0362499999999999,-1.4189867593510492,-0.0041694208038452049
-5.0350000000000001,-1.4250098902866508,-0.0041694208038452049
-5.0337500000000004,-1.4250098902866508,-0.0041694208038452049
-5.0324999999999998,-1.416979049039182,-0.0041694208038452049
-5.03125,-1.4022558400854894,-0.0041694208038452049
-5.0300000000000002,-1.3878672495171078,-0.0041694208038452049
-5.0287499999999996,-1.373144040563411,-0.0041694208038452049
-5.0274999999999999,-1.3637747257747017,-0.0041694208038452049
-5.0262500000000001,-1.362770870618768,-0.0041694208038452049
-5.0250000000000004,-1.3714709486368553,-0.0041694208038452049
-5.0237499999999997,-1.3885364862877303,-0.0041694208038452049
-5.0225,-1.409952062947647,-0.0041694208038452049
-5.0212500000000002,-1.428690692525074,-0.0041694208038452049
-5.0199999999999996,-1.4480985588731323,-0.0041694208038452049
-5.0187499999999998,-1.4675064252211729,-0.0041694208038452049
-5.0175000000000001,-1.4815603974042433,-0.0041694208038452049
-5.0162500000000003,-1.4869142915692199,-0.0041694208038452049
-5.0149999999999997,-1.4852411996426631,-0.0041694208038452049
-5.0137499999999999,-1.4778795951658201,-0.0041694208038452049
-5.0125000000000002,-1.464160241368061,-0.0041694208038452049
-5.0112500000000004,-1.4480985588731308,-0.0041694208038452049
-5.0099999999999998,-1.4367215337725427,-0.0041694208038452049
-5.00875,-1.4296945476810077,-0.0041694208038452049
-5.0075000000000003,-1.4283560741397627,-0.0041694208038452049
-5.0062499999999996,-1.4310330212222535,-0.0041694208038452049
-5.0049999999999999,-1.4337099683047421,-0.0041694208038452049
-5.0037500000000001,-1.4293599292956964,-0.0041694208038452049
-5.0025000000000004,-1.4193213777363651,-0.0041694208038452049
-5.0012499999999998,-1.4092828261770245,-0.0041694208038452049
-5,-1.4042635503973566,-0.0041694208038452049
-4.9987500000000002,-1.4025904584708007,-0.0041694208038452049
-4.9974999999999996,-1.4022558400854903,-0.0041694208038452049
-4.9962499999999999,-1.4042635503973566,-0.0041694208038452049
-4.9950000000000001,-1.4045981687826679,-0.0041694208038452049
-4.9937500000000004,-1.4002481297736242,-0.0041694208038452049
-4.9924999999999997,-1.3942249988380206,-0.0041694208038452049
-4.99125,-1.3871980127464856,-0.0041694208038452049
-4.9900000000000002,-1.3858595392052406,-0.0041694208038452049
-4.9887499999999996,-1.3888711046730415,-0.0041694208038452049
