Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (angle)
0.3,-0.019774158,-6.78606122,-29.25884818
0.738843108,-0.019350759,-10.05026656,-53.88755526
1.81963046,-0.018713022,-15.64955728,-73.07532858
4.481404747,-0.018603634,-21.63953725,-82.58703386
11.03685003,-0.019542887,-26.99302789,-86.70743773
27.1816686,-0.019105081,-33.85317116,-88.39878014
66.94329501,-0.020034666,-41.65862167,-89.12991299
164.8686404,-0.018929648,-49.38420608,-89.48727535
406.0401956,-0.01944871,-57.2215509,-89.90413401
1000,-0.019207792,-65.0469556,-87.85256713
