#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A17
#Date Time: 2018-12-11 05:55:41.410
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-5.1193283582089553,-0.023962710988665401,-0.0041694208038452049
-5.1180783582089555,-0.034335880933307812,-0.0041694208038452049
-5.1168283582089549,-0.043035958951403677,-0.004504272696893994
-5.1155783582089551,-0.051066800198872428,-0.004504272696893994
-5.1143283582089554,-0.059097641446341172,-0.004504272696893994
-5.1130783582089547,-0.067797719464436731,-0.004504272696893994
-5.111828358208955,-0.077501652638457055,-0.004504272696893994
-5.1105783582089552,-0.087874822583104181,-0.004504272696893994
-5.1093283582089555,-0.098917229298368686,-0.0041694208038453575
-5.1080783582089548,-0.10995963601364796,-0.0041694208038452049
-5.1068283582089551,-0.12033280595829038,-0.0041694208038452049
-5.1055783582089553,-0.12903288397638152,-0.0041694208038452049
-5.1043283582089556,-0.1353906332972914,-0.0041694208038452049
-5.1030783582089549,-0.13840219876509507,-0.0041694208038452049
-5.1018283582089552,-0.13873681715040626,-0.0041694208038452049
-5.1005783582089554,-0.13639448845322788,-0.004504272696893994
-5.0993283582089548,-0.13271368621480256,-0.004504272696893994
-5.0980783582089551,-0.12802902882044792,-0.004504272696893994
-5.0968283582089553,-0.12434822658202475,-0.004504272696893994
-5.0955783582089555,-0.12200589788484743,-0.004504272696893994
-5.0943283582089549,-0.12167127949953517,-0.004504272696893994
-5.0930783582089552,-0.12300975304077996,-0.0041694208038452049
-5.0918283582089554,-0.12568670012326955,-0.0041694208038452049
-5.0905783582089548,-0.12970212074700574,-0.0041694208038452049
-5.089328358208955,-0.1337175413707383,-0.0041694208038452049
-5.0880783582089553,-0.13672910683853906,-0.0041694208038452049
-5.0868283582089555,-0.13840219876509433,-0.0041694208038452049
-5.0855783582089549,-0.13806758037978387,-0.0041694208038452049
-5.0843283582089551,-0.13572525168260549,-0.0041694208038452049
-5.0830783582089554,-0.1317098310588711,-0.004504272696893994
-5.0818283582089547,-0.12635593689388966,-0.004504272696893994
-5.080578358208955,-0.12133666111422398,-0.004504272696893994
-5.0793283582089552,-0.1176558588758008,-0.004504272696893994
-5.0780783582089555,-0.11464429340800139,-0.004504272696893994
-5.0768283582089548,-0.11397505663737777,-0.0045042726968938414
-5.0755783582089551,-0.11430967502268882,-0.0041694208038452049
-5.0743283582089553,-0.11598276694924481,-0.0041694208038452049
-5.0730783582089556,-0.11799047726111107,-0.0041694208038452049
-5.0718283582089549,-0.11932895080235678,-0.0041694208038452049
-5.0705783582089552,-0.11932895080235678,-0.0041694208038452049
-5.0693283582089554,-0.11698662210517841,-0.0041694208038452049
-5.0680783582089548,-0.11230196471081874,-0.0041694208038453575
-5.0668283582089551,-0.10594421538990888,-0.004504272696893994
-5.0655783582089553,-0.098582610913062516,-0.004504272696893994
-5.0643283582089555,-0.091221006436219512,-0.004504272696893994
-5.0630783582089549,-0.084194020344681014,-0.004504272696893994
-5.0618283582089552,-0.078505507794390653,-0.004504272696893994
-5.0605783582089554,-0.075159323941278666,-0.004504272696893994
-5.0593283582089548,-0.073151613629411485,-0.0041694208038452049
-5.058078358208955,-0.073151613629411485,-0.0041694208038452049
-5.0568283582089553,-0.074155468785345083,-0.0041694208038452049
-5.0555783582089555,-0.075828560711900306,-0.0041694208038452049
-5.0543283582089549,-0.076497797482523458,-0.0041694208038452049
-5.0530783582089551,-0.076832415867834652,-0.0041694208038452049
-5.0518283582089554,-0.076163179097212264,-0.0041694208038452049
-5.0505783582089547,-0.073820850400032348,-0.004504272696893994
-5.049328358208955,-0.070474666546921902,-0.004504272696893994
-5.0480783582089552,-0.066793864308498721,-0.004504272696893994
-5.0468283582089555,-0.063447680455388275,-0.004504272696893994
-5.0455783582089548,-0.061105351758208207,-0.004504272696893994
-5.0443283582089551,-0.060770733372897165,-0.004504272696893994
-5.0430783582089553,-0.061774588528830755,-0.004504272696893994
-5.0418283582089556,-0.065120772381941208,-0.0041694208038453575
-5.0405783582089549,-0.06913619300567711,-0.0041694208038452049
-5.0393283582089552,-0.073151613629411485,-0.0041694208038452049
-5.0380783582089554,-0.076497797482523458,-0.0041694208038452049
-5.0368283582089548,-0.078170889409079444,-0.0041694208038452049
-5.0355783582089551,-0.078170889409079444,-0.0041694208038452049
-5.0343283582089553,-0.076163179097212264,-0.004504272696893994
-5.0330783582089555,-0.072816995244101818,-0.004504272696893994
-5.0318283582089549,-0.068801574620365916,-0.004504272696893994
-5.0305783582089552,-0.06478615399663154,-0.004504272696893994
-5.0293283582089554,-0.062109206914141957,-0.004504272696893994
-5.0280783582089548,-0.06077073337289747,-0.004504272696893994
-5.026828358208955,-0.061439970143519561,-0.004504272696893994
-5.0255783582089553,-0.064116917226009137,-0.0041694208038452049
-5.0243283582089555,-0.068801574620363792,-0.0041694208038452049
-5.0230783582089549,-0.074490087170656277,-0.0041694208038452049
-5.0218283582089551,-0.080178599720946639,-0.0041694208038452049
-5.0205783582089554,-0.084863257115303403,-0.0041694208038452049
-5.0193283582089547,-0.087874822583104487,-0.0041694208038452049
-5.018078358208955,-0.088544059353726584,-0.0041694208038452049
-5.0168283582089552,-0.086536349041859389,-0.004504272696893994
-5.0155783582089555,-0.082855546803437902,-0.004504272696893994
-5.0143283582089548,-0.078170889409076863,-0.004504272696893994
-5.0130783582089551,-0.072482376858789083,-0.004504272696893994
-5.0118283582089553,-0.066793864308498721,-0.004504272696893994
-5.0105783582089556,-0.061439970143521996,-0.004504272696893994
-5.0093283582089549,-0.057089931134473984,-0.0041694208038452049
-5.0080783582089552,-0.0544129840519844,-0.0041694208038452049
-5.0068283582089554,-0.054078365666673206,-0.0041694208038452049
-5.0055783582089548,-0.05608607597854344,-0.0041694208038452049
-5.0043283582089551,-0.062778443684764346,-0.0041694208038452049
-5.0030783582089553,-0.07348623201472268,-0.0041694208038452049
-5.0018283582089555,-0.089547914509652882,-0.0041694208038452049
-5.0005783582089549,-0.11129810955488803,-0.004504272696893994
-4.9993283582089552,-0.13907143553571746,-0.004504272696893994
-4.9980783582089554,-0.17353712922277084,-0.004504272696893994
-4.9968283582089548,-0.21335671707482423,-0.004504272696893994
-4.995578358208955,-0.25919943586243743,-0.004504272696893994
-4.9943283582089553,-0.31106528558567315,-0.004504272696893994
-4.9930783582089555,-0.36962350301510616,-0.004504272696893994
-4.9918283582089549,-0.43353561460957157,-0.0041694208038452049
-4.9905783582089551,-0.50246700198367833,-0.0041694208038452049
-4.9893283582089554,-0.57507919159620824,-0.0041694208038452049
-4.9880783582089547,-0.65103756506188593,-0.0041694208038452049
-4.986828358208955,-0.72967288560998156,-0.0041694208038452049
-4.9855783582089552,-0.81098515324060272,-0.0041694208038452049
-4.9843283582089555,-0.89463974956836412,-0.0041694208038452049
-4.9830783582089548,-0.98063667459341974,-0.004504272696893994
-4.9818283582089551,-1.0679720731596027,-0.004504272696893994
-4.9805783582089553,-1.1549728533405141,-0.004504272696893994
-4.9793283582089556,-1.2392966864388977,-0.004504272696893994
-4.9780783582089549,-1.3175973886017562,-0.004504272696893994
-4.9768283582089552,-1.3868633943611743,-0.004504272696893994
-4.9755783582089554,-1.4437485198640778,-0.0041694208038452049
-4.9743283582089548,-1.4839027261014304,-0.0041694208038452049
-4.9730783582089551,-1.5029759740641599,-0.0041694208038452049
-4.9718283582089553,-1.4972874615138696,-0.0041694208038452049
-4.9705783582089555,-1.4648294781386981,-0.0041694208038452049
-4.9693283582089549,-1.406605879094535,-0.0041694208038452049
-4.9680783582089552,-1.32696670339047,-0.0041694208038452049
-4.9668283582089554,-1.2316004635767785,-0.004504272696893994
-4.9655783582089548,-1.12586105381839,-0.004504272696893994
-4.964328358208955,-1.0161062234363671,-0.004504272696893994
-4.9630783582089553,-0.90735524821022762,-0.004504272696893994
-4.9618283582089555,-0.80228507522255932,-0.004504272696893994
-4.9605783582089549,-0.70491112509695297,-0.004504272696893994
-4.9593283582089551,-0.61690648976010798,-0.004504272696893994
-4.9580783582089554,-0.53927502436791008,-0.0041694208038452049
-4.9568283582089547,-0.47302058407626729,-0.0041694208038452049
-4.955578358208955,-0.41680469534401166,-0.0041694208038452049
-4.9543283582089552,-0.36995812140044393,-0.0041694208038452049
-4.9530783582089555,-0.33013853354842948,-0.0041694208038452049
-4.9518283582089548,-0.29600745824665575,-0.004504272696893994
-4.9505783582089551,-0.26622642195397261,-0.004504272696893994
-4.9493283582089553,-0.23979156951438801,-0.004504272696893994
-4.9480783582089556,-0.21703751931323689,-0.004504272696893994
-4.9468283582089549,-0.19729503457986589,-0.004504272696893994
-4.9455783582089552,-0.18089873369961718,-0.004504272696893994
-4.9443283582089554,-0.16717937990185808,-0.004504272696893994
-4.9430783582089548,-0.15647159157189564,-0.0041694208038452049
-4.9418283582089551,-0.14743689516849739,-0.0041694208038452049
-4.9405783582089553,-0.13974067230633985,-0.0041694208038452049
-4.9393283582089555,-0.13237906782949685,-0.0041694208038452049
-4.9380783582089549,-0.12468284496733595,-0.0041694208038452049
-4.9368283582089552,-0.116317385334556,-0.0041694208038452049
-4.9355783582089554,-0.10661345216053127,-0.0041694208038452049
-4.9343283582089548,-0.095571045445256256,-0.004504272696893994
-4.933078358208955,-0.083524783574058611,-0.004504272696893994
-4.9318283582089553,-0.071143903317544291,-0.004504272696893994
-4.9305783582089555,-0.059097641446346647,-0.004504272696893994
-4.9293283582089549,-0.048389853116382844,-0.004504272696893994
-4.9280783582089551,-0.040024393483602899,-0.004504272696893994
-4.9268283582089554,-0.033666644162690135,-0.004504272696893994
-4.9255783582089547,-0.029651223538954698,-0.0041694208038452049
-4.924328358208955,-0.027308894841777377,-0.0041694208038452049
-4.9230783582089552,-0.025635802915221391,-0.0041694208038452049
-4.9218283582089555,-0.024631947759288255,-0.0041694208038452049
-4.9205783582089548,-0.022624237447419086,-0.0041694208038452049
-4.9193283582089551,-0.01927805359430863,-0.0041694208038452049
-4.9180783582089553,-0.014258777814640662,-0.0041694208038452049
-4.9168283582089556,-0.0075664101084197497,-0.0045042726968938414
-4.9155783582089549,0.00012981275374084392,-0.004504272696893994
-4.9143283582089552,0.0074914172305871963,-0.004504272696893994
-4.9130783582089554,0.013514548166188757,-0.004504272696893994
-4.9118283582089548,0.017195350404612845,-0.004504272696893994
-4.9105783582089551,0.01920306071647912,-0.004504272696893994
-4.9093283582089553,0.019537679101790318,-0.004504272696893994
-4.9080783582089555,0.018533823945857182,-0.0041694208038453575
-4.9068283582089549,0.016860732019300734,-0.0041694208038452049
-4.9055783582089552,0.015522258478055946,-0.0041694208038452049
-4.9043283582089554,0.015522258478055946,-0.0041694208038452049
-4.9030783582089548,0.016526113633990602,-0.0041694208038452049
-4.901828358208955,0.018868442331167922,-0.0041694208038452049
-4.9005783582089553,0.023218481340213495,-0.004504272696893994
-4.8993283582089555,0.027568520349257088,-0.004504272696893994
-4.8980783582089549,0.031918559358304635,-0.004504272696893994
-4.8968283582089551,0.035599361596727816,-0.004504272696893994
-4.8955783582089554,0.037941690293906198,-0.004504272696893994
-4.8943283582089547,0.038276308679216942,-0.0045042726968938414
-4.893078358208955,0.037272453523283802,-0.0041694208038452049
-4.8918283582089552,0.034595506440794219,-0.0041694208038452049
-4.8905783582089555,0.031249322587683769,-0.0041694208038452049
-4.8893283582089548,0.027568520349257847,-0.0041694208038452049
-4.8880783582089551,0.024891573266769485,-0.0041694208038452049
-4.8868283582089553,0.023218481340213495,-0.0041694208038452049
-4.8855783582089556,0.023887718110835586,-0.0041694208038452049
-4.8843283582089549,0.026230046808014277,-0.004504272696893994
-4.8830783582089552,0.029910849046437451,-0.004504272696893994
